ensemble_test_score,duration
0,0
0.0,19.053905999999984
0.3618629479016162,19.94196199999999
0.3618629479016162,65.05390599999998
0.3618629479016162,65.05390599999998
0.3618629479016162,65.05390599999998
0.5975540005790699,65.41068299999995
0.5977608627941682,67.00281500000006
0.5977608627941682,67.00281500000006
0.5977608627941682,291.053906
0.5977608627941682,291.053906
0.5977608627941682,291.053906
0.5977608627941682,291.053906
0.60502100627035,291.905426
0.60502100627035,291.905426
0.60502100627035,291.905426
0.60502100627035,291.905426
0.60502100627035,593.053906
0.6680985963941077,594.759665
0.6680985963941077,600